lr;epochs;batch_size;fc1;fc2;fc3;dropout;eps;weight_decay;Tr;Val;Te;Basal_val;Her2_val;LumA_val;LumB_val
0.0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.001;80;200;40;20;10;0.2;1e-08;0.0001;86.2766;83.5106;82.5641;84.4828;65.5172;91.9283;77.3585
