submitter,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
MB-0064,0.0,0.157381774,0.114268703,0.012971882,0.124044073,0.0,0.0,0.034427935,0.058122926,0.079988778,0.0,0.069876286,0.036162578,0.0,0.046338454,0.026479457,0.0,0.0,0.084256942,0.03233749,0.064943508,0.058399217
MB-0066,0.032472366,0.071563658,0.0,0.176622778,0.0,0.0,0.096895379,0.022622372,0.027034452,0.0,0.0,0.088154794,0.064193787,0.043107044,0.004161576,0.0,0.0,0.070548002,0.158223065,0.0,0.02548555,0.118915176
MB-0068,0.098465124,0.0,0.0,0.156007742,0.0,0.002443884,0.0,0.185994896,0.0,0.0,0.0,0.062530714,0.0,0.040812299,0.03158821,0.0,0.118268473,0.049757815,0.170171491,0.00518617,0.078773181,0.0
MB-0071,0.0,0.144606394,0.124121724,0.019113626,0.114821295,0.0,0.0,0.088765945,0.0,0.065300446,0.0,0.0,0.060415907,0.057751771,0.048982971,0.104701987,0.008252003,0.0,0.0,0.04529991,0.117866023,0.0
MB-0079,0.051092354,0.0,0.165332024,0.148099426,0.116902499,0.0,0.147250201,0.0,0.0,0.001152519,0.025875752,0.0,0.0,0.000936466,0.003136979,0.084897797,0.051290266,0.040088408,0.029460278,0.023527997,0.048788626,0.062168408
MB-0081,0.0,0.062145414,0.0,0.125708018,0.001242456,0.0,0.0,0.214946661,0.0,0.0,0.15392297,0.05577079,0.0,0.086735409,0.047084695,0.037535913,0.03243199,0.057299401,0.097891655,0.0,0.0,0.027284628
MB-0083,0.0,0.185225718,0.0,0.018992101,0.222655859,0.0,0.134876648,0.015749986,0.029141318,0.0,0.027732191,0.0,0.0,0.0,0.073373537,0.025100012,0.128464367,0.03337028,0.0,0.105199073,0.0,0.000118909
MB-0093,0.093608176,0.0,0.0,0.14102161,0.0,0.0,0.056547753,0.01179529,0.035896204,0.09628115,0.0,0.166281005,0.060488003,0.0,0.0,0.012537,0.037184106,0.071415983,0.191090741,0.0,0.0,0.025852977
MB-0095,0.0,0.0,0.140824158,0.181892395,0.150415054,0.0,0.096432609,0.13516597,0.0,0.0,0.011372317,0.0,0.045879552,0.018916248,0.032767973,0.040404442,0.0,0.004211196,0.059427244,0.0,0.082290843,0.0
MB-0097,0.052018338,0.0,0.049629104,0.136987073,0.155840157,0.0,0.058612362,0.0,0.0,0.0,0.052493121,0.0,0.0,0.0,0.049452486,0.164492691,0.10437778,0.037378953,0.0,0.133983428,0.0,0.004734507
MB-0099,0.0,0.154068972,0.114347554,0.018002442,0.118823312,0.0,0.0,0.038123002,0.053835646,0.080036152,0.0,0.065989158,0.036892344,0.0,0.047411152,0.030303108,0.0,0.0,0.087820312,0.030214379,0.066472619,0.057659849
MB-0100,0.0,0.124801302,0.127117499,0.026481631,0.194432916,0.0,0.101512312,0.014934024,0.0,0.014471806,0.063772427,0.0,0.001907918,0.026926634,0.0,0.035862547,0.084824935,0.0,0.0,0.089649247,0.055500601,0.037804201
MB-0101,0.027601817,0.052446006,0.102155599,0.123906153,0.070812243,0.0,0.121580488,0.023817894,0.0,0.066096707,0.080014376,0.0,0.0,0.036996653,0.037942736,0.089119167,0.027120582,0.0,0.041540704,0.027989245,0.045990711,0.024868919
MB-0102,0.0,0.065703709,0.103857749,0.171454748,0.016762614,0.0,0.052826682,0.016372075,0.002030468,0.0,0.018763486,0.077463566,0.052355922,0.109133735,0.144527359,0.0,0.049979913,0.026405351,0.036238921,0.0,0.0561237,0.0
MB-0106,0.07317697,0.0,0.111784601,0.18820803,0.12537395,0.0,0.062122624,0.059554865,0.0,0.0,0.0,0.0,0.039278031,0.0,0.052186663,0.075203536,0.100918005,0.01188042,0.0,0.059316633,0.0,0.040995671
MB-0107,0.080077793,0.052139802,0.087413646,0.111598263,0.033675058,0.0,0.031431158,0.102112493,0.0,0.0,0.062088357,0.062914522,0.086098421,0.054505475,0.0,0.0,0.055481579,0.063172771,0.087085595,0.030205069,0.0,0.0
MB-0108,0.0,0.0,0.0,0.0,0.0,0.197415059,0.123665927,0.146156571,0.0,0.060163603,0.0,0.041513503,0.0,0.044916216,0.077149156,0.005232583,0.004137533,0.014453566,0.17454069,0.0,0.0,0.110655594
MB-0109,0.01635252,0.0,0.178980463,0.0,0.0,0.065312408,0.0,0.05152079,0.05565355,0.0,0.121265015,0.0,0.136378182,0.013340587,0.025649651,0.034110537,0.104834482,0.0,0.116057181,0.0,0.057184511,0.023360121
MB-0110,0.018302944,0.008802352,0.137528525,0.106137729,0.138685304,0.0,0.125539843,0.045825024,0.0,0.0,0.0,0.0,0.047202691,0.076424444,0.006530616,0.0,0.008356556,0.054397446,0.166008527,0.0,0.011692988,0.04856501
MB-0111,0.006513918,0.019699404,0.092411344,0.175438971,0.086543127,0.0,0.090927258,0.009541872,0.0,0.0,0.085697534,0.0,0.0,0.0,0.051073607,0.1032907,0.121144274,0.0,0.075590644,0.040368907,0.032270943,0.009487496
MB-0112,0.134945906,0.0,0.091972381,0.040743933,0.140955094,0.0,0.159881921,0.085802459,0.0,0.011355834,0.0,0.072024246,0.043145749,0.0,0.005341148,0.0,0.006621202,0.0,0.161198613,0.0,0.0,0.046011514
MB-0113,0.04201082,0.168140691,0.0,0.121344616,0.120998043,0.0,0.0,0.096094033,0.0,0.154439259,0.0,0.033570853,0.0,0.033148669,0.0,0.030831505,0.019847395,0.07634753,0.0,0.0,0.041250099,0.061976486
MB-0114,0.065808004,0.0,0.062184335,0.052127962,0.214351763,0.0,0.173719691,0.07365728,0.0,0.112927981,0.0,0.0,0.0,0.0,0.040979143,0.05317008,0.032924097,0.080065746,0.02496261,0.0,0.0,0.013121308
MB-0115,0.093936021,0.0,0.0,0.0,0.157373755,0.0,0.0,0.042807638,0.0,0.185910227,0.0,0.030073721,0.0,0.0,0.058357324,0.103531332,0.0,0.091887224,0.089954426,0.0,0.016013317,0.130155014
MB-0116,0.035952768,0.0,0.015153696,0.028144043,0.0,0.014421202,0.0,0.150722019,0.0,0.0,0.0,0.162108897,0.030077927,0.141164468,0.028298365,0.0,0.0,0.052942278,0.208845648,0.0,0.078234611,0.053934078
MB-0117,0.0,0.065671276,0.0,0.160489279,0.0,0.0,0.05514806,0.149659368,0.0,0.0,0.0,0.122147918,0.0,0.0,0.048191329,0.0,0.076655182,0.04900712,0.217080204,0.0,0.0,0.055950264
MB-0119,0.030349923,0.087600308,0.087083525,0.01155907,0.160238611,0.0,0.0,0.022437039,0.041024768,0.083022319,0.133073916,0.0,0.054168941,0.037377589,0.008234942,0.0,0.095979169,0.037317327,0.0,0.110532553,0.0,0.0
MB-0120,0.185227137,0.0,0.082354783,0.054406251,0.000492717,0.0,0.001848759,0.142510836,0.0,0.0,0.001219787,0.062063622,0.044599073,0.0,0.045475895,0.141844982,0.025165499,0.046953712,0.081111029,0.0,0.0,0.084725919
MB-0121,0.022474526,0.01322233,0.102607118,0.096449511,0.159374751,0.0,0.021623124,0.0,0.134862779,0.0,0.165110871,0.0,0.038425341,0.03214372,0.012858163,0.033633664,0.081149799,0.00576912,0.0,0.032988299,0.047306884,0.0
MB-0122,0.06283314,0.0,0.044994392,0.0,0.223274684,0.0,0.0,0.072786913,0.050976282,0.012427407,0.157468787,0.0,0.101244457,0.0,0.003174329,0.014905622,0.107468533,0.0,0.0,0.062871997,0.085573457,0.0
MB-0123,0.04630456,0.02740281,0.0,0.04981135,0.0,0.174352184,0.074107513,0.0,0.0,0.017992404,0.0,0.127497737,0.053276764,0.107336765,0.086505479,0.0,0.056917287,0.0,0.170106336,0.0,0.0,0.00838881
MB-0124,0.025661295,0.043964503,0.099325112,0.007475082,0.166587903,0.0,0.0,0.0,0.065010268,0.012398437,0.183461731,0.0,0.071652214,0.0,0.001657578,0.087597716,0.096644063,0.006852291,0.0,0.086543941,0.045167866,0.0
MB-0125,0.004927217,0.001416832,0.00343822,0.080878175,0.163522667,0.0,0.0,0.12070399,0.0,0.109412674,0.0,0.105753831,0.0,0.0,0.0,0.041456074,0.085926961,0.04149526,0.0,0.115689573,0.067938273,0.057440253
MB-0126,0.095415855,0.066860344,0.191246983,0.109268017,0.109344347,0.0,0.074911653,0.0,0.012490078,0.0,0.035882919,0.055109745,0.050813874,0.084872247,0.012290984,0.005765823,0.0,0.001541719,0.09316728,0.0,0.0,0.001018132
MB-0127,0.0,0.118009278,0.0,0.0,0.0,0.191205094,0.0,0.013916537,0.03981157,0.074359655,0.0,0.068198278,0.160069455,0.11062077,0.029285991,0.0,0.02401482,0.0,0.070118917,0.053491947,0.0,0.046897687
MB-0128,0.157261849,0.0,0.113781712,0.023644852,0.0,0.06552467,0.020045729,0.117609339,0.0,0.069280277,0.0,0.075309096,0.0,0.047383014,0.100176397,0.0,0.031786703,0.0,0.145108192,0.0,0.03308817,0.0
MB-0129,0.0,0.205328222,0.0,0.24059389,0.021607993,0.0,0.086540849,0.049578623,0.0,0.0,0.069946991,0.0,0.103218123,0.047647458,0.0,0.0,0.0,0.072915607,0.041378978,0.0,0.0,0.061243268
MB-0130,0.080222282,0.0,0.127705338,0.042601381,0.1832872,0.0,0.058595343,0.033681599,0.077473987,0.048508966,0.01654862,0.0,0.0,0.005266907,0.027837929,0.056694394,0.076687837,0.0,0.0,0.067975811,0.062869386,0.03404302
MB-0131,0.083143249,0.045165338,0.0,0.0,0.145562106,0.0,0.0,0.0,0.025788228,0.046937244,0.165538549,0.0,0.0,0.0,0.0,0.093216341,0.076395982,0.065521354,0.0,0.191796989,0.0,0.060934621
MB-0133,0.062893646,0.0,0.156942859,0.066836833,0.267952996,0.0,0.04713658,0.037551689,0.017781338,0.012675233,0.0,0.0,0.0,0.0,0.0,0.026906374,0.039016509,0.029388399,0.0,0.101813568,0.082191832,0.050912145
MB-0134,0.006512146,0.053019414,0.164897481,0.01022523,0.231056392,0.0,0.125287729,0.0,0.067841317,0.040446402,0.031560393,0.0,0.012548841,0.043469327,0.031608275,0.006033175,0.002597574,0.002053343,0.064499202,0.020386148,0.059132476,0.026825136
MB-0135,0.003707112,0.071986196,0.0,0.191481796,0.0,0.0,0.0,0.135213003,0.0,0.089513115,0.0,0.0755491,0.049366314,0.121432428,0.03286911,0.0,0.052081318,0.0,0.153494453,0.0,0.0,0.023306054
MB-0136,0.0,0.0,0.0,0.0,0.112982247,0.0,0.005588667,0.090503988,0.128041655,0.200122687,0.0,0.017215371,0.0,0.0,0.050763026,0.0,0.136003364,0.003072276,0.174565814,0.0,0.002536603,0.078604301
MB-0138,0.05020002,0.0,0.127907517,0.067985077,0.192165537,0.0,0.059858473,0.033943801,0.071914006,0.069543325,0.044471597,0.0,0.0,0.000111031,0.0,0.056257922,0.079321502,0.0,0.0,0.06033879,0.061281237,0.024700164
MB-0139,0.0,0.07023756,0.0,0.236457678,0.166290794,0.0,0.000508747,0.013764256,0.021065697,0.0,0.072720208,0.0,0.079636574,0.0,0.042129479,0.018033678,0.089763775,0.005763549,0.0,0.16494998,0.0,0.018678025
MB-0140,0.004652722,0.09507639,0.0,0.0,0.0,0.18852366,0.077973999,0.0,0.0,0.027519155,0.117818557,0.0,0.0607472,0.0,0.04396674,0.08877616,0.112786559,0.0,0.0,0.110396204,0.0662158,0.005546854
MB-0142,0.0,0.119765831,0.072732208,0.076230659,0.147818932,0.0,0.0,0.068695725,0.053620865,0.0,0.0255392,0.0,0.01397126,0.0,0.0,0.125315027,0.123163258,0.026107568,0.00443998,0.103518214,0.009524894,0.029556379
MB-0143,0.017842404,0.056599261,0.016360612,0.006346089,0.183510477,0.0,0.031324613,0.0,0.144564602,0.286896192,0.0,0.0,0.0,0.0,0.0,0.073725445,0.024225792,0.049985927,0.0,0.083401138,0.0,0.025217449
MB-0144,0.051013673,0.0,0.077663488,0.060837767,0.0,0.083859937,0.002441914,0.095995403,0.0,0.0,0.0,0.128535955,0.073882051,0.14668038,0.040035366,0.0,0.014277218,0.0,0.172377627,0.0,0.052399221,0.0
MB-0145,0.0,0.0,0.184312339,0.0,0.216017171,0.0,0.084405763,0.023562643,0.018291691,0.041999214,0.064384936,0.0,0.0,0.004352165,0.065775471,0.078624823,0.113290074,0.0,0.0,0.015303122,0.079558223,0.010122365
MB-0146,0.0,0.0,0.011126555,0.137201103,0.108919348,0.0,0.111684138,0.08512992,0.0,0.0,0.118615952,0.007894865,0.130706888,0.10121559,0.0,0.0,0.097084672,0.0,0.09042097,0.0,0.0,0.0
MB-0147,0.0,0.106113482,0.118482589,0.16847575,0.0,0.02930361,0.023940884,0.023312555,0.043471517,0.0,0.073487356,0.045900414,0.093184101,0.048868269,0.006232052,0.025584487,0.060583291,0.039749824,0.086919187,0.0,0.006390633,0.0
